Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,PlayerId_y,MLBAMID_y,Years_Contributed
Aaron Hicks,137.0,581.0,27.0,90.0,79.0,11.0,0.154905335,0.191049913,0.21875,0.264367816,0.247916666,0.366148531,0.466666666,0.3598501572971938,0.372,128.53512610737735,2.471690482692793,22.291048532944014,-3.200422763824463,4.0054165396222245,5297.0,543305.0,2.2399675846099854,-8.789493560791016,11.029461860656738,34.3557014465332,3.401719093322754,0.9319485425949096,1.909766674041748,6.0,2.849007606506348,-0.4454762072586611,5297.0,543305.0,1
Aaron Judge,154.5,677.75,52.75,118.0,121.75,10.25,0.1635505645,0.26268105575,0.338556081,0.34918803875000004,0.300983865,0.41938729674999997,0.639539946,0.4377898439939045,0.45375,187.09486563731784,-0.09637681214371699,69.658968058234,-2.966325744986534,9.121620286491849,15640.0,592450.0,5.165147185325623,-10.233917474746706,15.399064779281616,67.59062576293945,7.006866157054901,0.9929680824279785,2.2190000216166177,2.75,6.918569564819336,-1.7607457587394433,15640.0,592450.0,4
Adam Eaton,146.0,647.25,11.0,92.0,49.75,15.5,0.088106528,0.16722014975,0.13431888125,0.33786536775,0.28769456825,0.36243936925,0.42201344949999997,0.3428652834864218,0.322,115.98498710775527,3.513887115288526,15.699999791987555,1.2163607776165009,3.955085885134979,11205.0,594809.0,1.8279626965522766,-10.319019794464111,12.146982431411743,15.165424585342407,1.5643811970949173,0.9930848479270935,2.410004734992981,2.5,1.3181763291358948,0.5021237808066308,11205.0,594809.0,4
Adley Rutschman,151.0,662.5,19.5,76.0,79.5,1.0,0.112412332,0.1542290085,0.149134172,0.2874479625,0.263824356,0.3461360325,0.412958528,0.33027244179023607,0.346,115.40209090945496,-2.3948239621240646,10.111210274650318,8.339083310216665,4.1259312726345225,26288.0,668939.0,1.389798879623413,-10.136447429656982,11.526246547698975,15.565600395202637,1.602772057056427,0.9252382516860962,1.7285600304603577,6.0,1.1187256053090096,0.36774770986091027,26288.0,668939.0,2
Adrian Beltré,148.42857142857142,626.1428571428571,27.857142857142858,85.71428571428571,95.0,1.1428571428571428,0.06737156028571428,0.11370821228571429,0.21221805042857142,0.3111705357142857,0.3092872225714286,0.35809569571428573,0.521505273,0.37520060709656056,0.363,132.95400291617685,-0.5898063889970737,23.290319789167338,8.027487776109151,5.4988667945353615,639.0,134181.0,1.9271715416439943,-10.39529391697475,12.322464942932129,21.624857085091726,2.149066584450858,0.9786081824983869,1.2121499851346016,0.7142857142857143,2.617864336286272,-0.6238093227056645,639.0,134181.0,7
Alejandro Kirk,139.0,541.0,14.0,59.0,63.0,0.0,0.116451016,0.107208872,0.129787235,0.298507462,0.285106382,0.371534195,0.414893617,0.3471971192917266,0.351,129.13776437793746,-5.302214873023331,12.43644617857498,11.163459748029709,4.274446996209362,22581.0,672386.0,1.097362756729126,-8.021295547485352,9.118658065795898,20.790000915527344,2.14492416381836,0.9152976274490356,1.804462432861328,16.0,1.8830622434616089,-0.6841486618897743,22581.0,672386.0,1
Alex Avila,141.0,551.0,19.0,63.0,82.0,3.0,0.132486388,0.237749546,0.211206897,0.366459627,0.29525862,0.388686131,0.506465517,0.3835014381302531,,140.20428017598482,-1.3326402539387343,24.462534430772067,4.930770039558411,5.026236633519128,7476.0,488671.0,2.7589752674102783,-8.254941940307617,11.013917922973633,28.14299964904785,2.790522575378418,0.9696894884109496,1.6403000354766846,4.0,3.084843873977661,-0.2396286784087493,7476.0,488671.0,1
Alex Bregman,154.83333333333334,672.5,27.5,98.33333333333333,92.0,6.5,0.12093130133333334,0.128166631,0.21649179333333335,0.27906539383333334,0.27457925333333333,0.36901423083333335,0.4910710466666666,0.36740177092389176,0.3506666666666667,137.85075483308415,-0.7247685686452314,30.46289210820811,4.472801720102628,5.822662302443187,17678.0,608324.0,2.201965163151423,-10.543643792470297,12.745608647664389,28.550100286801655,2.9127294632295766,0.9352673590183258,2.0270000954624265,0.5,2.7581419944763184,-0.41061731357772474,17678.0,608324.0,6
Andres Torres,139.0,570.0,16.0,84.0,63.0,26.0,0.098245614,0.224561403,0.211045365,0.330578512,0.268244575,0.343362831,0.47928994,0.3583087136648052,,124.98563361403885,5.596308291424066,22.662137599857832,20.44669508934021,6.278205235008435,1488.0,400083.0,2.274170398712158,-10.262402534484863,12.536572456359863,20.972801208496094,2.289142370223999,1.0686253309249878,1.6353750228881836,8.0,1.1139377355575562,1.014189244872214,1488.0,400083.0,1
Andrew McCutchen,149.25,640.5833333333334,22.916666666666668,86.08333333333333,77.91666666666667,15.0,0.11972820833333332,0.19539056916666667,0.19158944525,0.31116285625,0.2729357914166667,0.3658107579166667,0.46452523666666673,0.35915857989657224,0.3522857142857143,128.34152100779667,0.6754305840392286,22.675294199740986,-6.006929345428944,3.9027253702896445,9847.0,457705.0,2.2939163061479726,-10.27429673075676,12.568212697903315,24.526341769844294,2.6754576388436058,0.9974538059962094,1.6401728554205461,2.9166666666666665,2.459813960827887,-0.14086262345060555,9847.0,457705.0,12
