Name,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,PlayerId_y,MLBAMID_y,Years_Contributed
Alexis Díaz,6.0,4.666666666666667,25.0,63.333333333333336,0.0,62.13333333333333,10.671673194340508,4.809822310661477,0.7333466231979263,0.23165374677002581,0.73478216,0.336520305,0.07431844633333333,94.86396219920026,2.968679162508881,3.313333333333333,3.8026111323800773,4.410563211677517,1.026961664358775,21132.0,664747.0,2.689357876777649,-6.822940826416016,9.512298742930094,9.871000369389852,0.9561143020788828,1.896470069885254,1.6384669542312622,1.7203612327575684,1.6996242205301921,23.0,0.9668479065100352,0.37392945187790283,28.333333333333332,8.0,21132.0,664747.0,3
Aroldis Chapman,3.857142857142857,3.142857142857143,23.714285714285715,55.92857142857143,0.0,53.23571428571428,14.466845950544267,4.717827070447454,0.562301959353715,0.28606676514748525,0.7777375207142857,0.44937014000000003,0.0877322637142857,99.25132068169945,2.6738584694959604,2.9555555555555553,2.425308157766005,2.649360662204779,1.6205730363726616,10233.0,547973.0,1.5417340419122152,-5.703167259693146,7.2449012994766235,9.191714235714503,0.9554095236318452,1.7215932238600895,1.5366287013249738,1.6192209330968061,2.042399151408961,19.357142857142858,0.9319871922156641,-0.06966022114328395,26.642857142857142,6.928571428571429,10233.0,547973.0,14
Billy Wagner,7.0,2.0,37.0,71.0,0.0,69.1,13.50000099035417,2.8557694402672285,0.6490385091516429,0.2462686567164179,0.875,0.377777777,0.083333333,96.15742033508542,1.4278847201336142,,2.0970731235820117,2.2164155358232893,1.979503870010376,578.0,123790.0,1.046419978141785,-7.011213779449463,8.057638168334961,19.076000213623047,1.99437153339386,1.6283352375030518,1.4599313735961914,1.4424084424972534,1.9666571617126465,7.0,1.6623754501342771,-1.0197436664320447,31.0,9.0,578.0,123790.0,1
Camilo Doval,5.5,4.0,23.0,57.0,0.0,55.1,11.61086692461329,4.099357679328443,0.75677002686791,0.29838612380765484,0.7217063300000001,0.54245925825,0.12319078925,99.47867229278074,3.333639944378673,3.0,3.2304912007710755,3.2214257832516324,0.8766758535057305,21992.0,666808.0,0.9950495138764381,-7.3908156752586365,8.385865211486816,3.5705000162124634,0.4017033576965332,1.8396556079387665,1.5582982003688814,1.6876091957092285,1.800515055656433,17.0,0.3782394677400589,0.14616505105050187,26.25,9.75,21992.0,666808.0,4
Chris Perez,2.4,3.8,24.8,58.2,0.0,55.9,8.076121201315917,3.7550032871621424,1.0521673175704906,0.2554131670278174,0.7810923919999999,0.3664086918,0.1020635462,94.42718569422341,3.4458069452805278,,4.260117455530471,4.3028275239091744,0.2285530149936676,5213.0,453198.0,0.9304614812135696,-6.816631937026978,7.747094058990479,3.053600058704615,0.33650818020105355,1.7813574194908142,1.491468894481659,1.595725429058075,1.963752818107605,17.6,0.110524782538414,0.2952428277126654,28.0,7.6,5213.0,453198.0,5
Craig Kimbrel,4.0,3.2857142857142856,31.285714285714285,58.5,0.0,56.52142857142858,14.093013939265466,3.986551077298248,0.9232800894394202,0.26400227179151414,0.8157811064285714,0.3692317195,0.11303173278571428,96.95874873296361,2.689210626470992,3.463333333333333,2.8134951077883508,2.791090596914434,1.5258838228349174,6655.0,518886.0,1.6571961981909615,-6.104050359555653,7.761246579033988,10.466571288449424,1.0979702094835895,1.7450761045387815,1.619459156606243,1.6429689473846332,2.008806965180806,12.785714285714286,0.9841157075549875,-0.0904758362234374,28.214285714285715,7.5,6655.0,518886.0,14
Edwin Díaz,2.857142857142857,4.571428571428571,31.285714285714285,61.714285714285715,0.0,60.81428571428571,14.577652634739973,3.106690342423311,1.0308680017162475,0.31239506048075516,0.78909359,0.4171456468571429,0.13801331685714285,98.04790842759012,3.1263814933628713,2.4499999999999997,2.6545197384239114,2.536709394410193,1.787489119651062,14710.0,621242.0,1.486333702291761,-7.851350784301758,9.337684426988874,6.217713926519667,0.67888589363013,2.037931799888611,1.7330111605780465,1.7758038214274816,2.0925925288881575,14.857142857142858,0.8861787234033857,-0.14780480966036796,31.428571428571427,9.428571428571429,14710.0,621242.0,7
Emmanuel Clase,3.2,4.6,31.6,63.6,0.2,62.160000000000004,8.622828114483934,1.7624433010507048,0.4277852957668104,0.2510344050930039,0.745282368,0.6089248666,0.0824417094,99.86489955287061,1.7588202166612839,2.616,2.5311796521768675,2.8912304014382064,1.7765112124383453,21032.0,661403.0,1.837754637002945,-6.613052788376808,8.450807252526284,14.918000197410583,1.5116446606814862,1.7436969536046185,1.600672917182629,1.6082130931672594,2.1163526168891362,12.4,1.586859031766653,-0.4818544763521059,29.8,8.4,21032.0,661403.0,5
Fernando Rodney,3.3,4.1,25.7,64.3,0.0,60.02,9.300993781271544,4.622853535721496,0.6256380230523197,0.29593595747184864,0.740709651,0.5180701495,0.0911867903,96.25226437374745,3.6996227424219703,3.806,3.6631605842112287,3.88445742311917,0.5953669168055058,494.0,407845.0,0.4160802125930786,-7.774247634410858,8.190327459573746,2.059899778664112,0.21525569185614585,1.813228783081037,1.4739444899575345,1.551532612882215,1.7324012149348218,23.2,0.28032782096415765,-0.13900513426787947,28.9,9.3,494.0,407845.0,10
Francisco Cordero,4.666666666666667,5.333333333333333,26.333333333333332,63.333333333333336,0.0,60.166666666666664,6.608799863770741,3.8064887958382516,1.1512360624365785,0.3007540885208621,0.7477200333333333,0.44290070366666673,0.11104333,93.85235670641912,4.614948141035834,,4.650430152495127,4.46013786725967,-0.14775824050108594,1243.0,150188.0,-0.5427960101515057,-9.242008050282797,8.699211676915487,-0.9913329680760695,-0.08967181046803792,1.8783686257022973,1.4315290227532387,1.463952437360236,2.0409168861378197,15.0,-0.12751286725203195,-0.35754949879137565,26.0,9.333333333333334,1243.0,150188.0,3
