Name,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,PlayerId_y,MLBAMID_y,Years_Contributed
Aroldis Chapman,0.2857142857142857,0.42857142857142855,1.2857142857142858,5.857142857142857,0.0,6.214285714285714,11.200189039221714,3.8674010383304562,0.48385254442815384,0.28053494124922695,0.77566022,0.36884920628571427,0.06944444442857142,,1.885258296139222,,2.9951675065064727,3.7311802534649643,,10233.0,547973.0,0.0898042699056012,-0.638042573417936,0.7278468757867813,0.5718571203095573,0.04737746715545652,1.265703524862017,1.3206749320030213,1.2470414212771825,1.6062685251235962,2.4285714285714284,0.0038383869188172554,0.06548846181584121,1.7142857142857142,0.7142857142857143,10233.0,547973.0,5
Camilo Doval,0.0,1.0,1.0,3.0,0.0,3.2,4.909091760304496,0.0,0.0,0.1818181818181818,0.66666667,0.272727272,0.0,,2.454545880152248,,2.8973068024501245,6.265635082717543,,21992.0,666808.0,0.0393099933862686,-0.4504980146884918,0.4898080229759216,0.1759999692440033,0.0180677473545074,2.065700054168701,2.1196999549865723,2.102133274078369,1.3877999782562256,1.0,0.1534430235624313,-0.1344131584535358,1.0,1.0,21992.0,666808.0,1
Craig Kimbrel,0.0,0.375,1.25,3.625,0.0,3.4375,10.278251280925465,4.853370588669398,0.9609379572796257,0.1832924836601307,0.71417580375,0.393402777625,0.060763888875,,3.435397873553331,,4.180800280705367,4.967868910983042,,6655.0,518886.0,0.025161256489809596,-0.4031597534194588,0.42832100711530074,-0.425624992698431,-0.03996383072808385,1.167000007815659,0.663617555052042,0.8758490094915032,1.6301866680383683,1.25,0.0012616838794201786,-0.04133450069170902,1.0,0.5,6655.0,518886.0,5
Edwin Díaz,0.5,0.0,1.0,4.0,0.0,5.199999999999999,10.125002042605747,5.322116453531444,0.0,0.26050420168067223,0.8636363650000001,0.534313725,0.0,,1.5576925933714265,,2.663493753907929,3.448575185736974,,14710.0,621242.0,-0.1245279833674431,-0.49313995242118835,0.36861200630664825,1.0160000324249268,0.11194728687405579,0.907773792743683,0.7869499921798706,1.0703833401203156,0.5402666889131069,2.5,0.09103597188368436,-0.20327374449558414,1.0,0.5,14710.0,621242.0,2
Emmanuel Clase,0.5,1.0,1.5,5.5,0.0,7.0,9.000001251697718,2.0625003054738507,1.6875002011657,0.2115384615384615,0.78409091,0.5318302385,0.1666666665,,4.500000536441867,,4.514455543955184,3.174188356479839,,21032.0,661403.0,-0.07562795281410217,-1.010252021253109,0.934624046087265,-0.2224999666213987,-0.02067270874977109,1.6838713884353638,1.661853313446045,2.3855570554733276,1.6499333381652832,2.0,-0.0811212956905365,0.061292132790688604,3.0,1.5,21032.0,661403.0,2
Fernando Rodney,0.2,0.0,0.0,2.6,0.0,1.7,11.854288027511105,7.9457166073475864,1.465714829075295,0.4333333333333333,0.534655172,0.4589743586,0.13999999999999999,,9.874287011205364,,5.53127828259409,4.311653967320573,,494.0,407845.0,-0.07776279374957086,-0.1746724005788564,0.09690960347652432,-1.4598000049591064,-0.14920146167278286,0.8545192003250122,0.36588889360427856,0.7063933491706849,0.7174583375453949,2.0,-0.09188087284564965,0.018763300568815054,0.0,0.6,494.0,407845.0,3
Jordan Romano,0.0,0.5,0.0,1.0,0.0,1.15,14.175004924537516,2.7000010299686545,0.0,0.525,0.8,0.375,0.0,,5.400002059937309,,2.05873519778232,3.566964234539604,,16122.0,605447.0,-0.26076402887701994,-0.4949860237538814,0.2342220246791839,-0.7349999845027921,-0.08122521638870239,1.7426933348178864,1.2521999329328537,1.7798999547958374,0.9277999997138976,0.5,-0.08235395699739455,0.0427568909489046,0.0,0.5,16122.0,605447.0,2
Josh Hader,0.0,0.4,1.0,3.4,0.0,4.04,12.555001574457359,4.7603574590020745,0.9,0.41412698412698407,0.816666666,0.3321755366,0.2,,5.271428676527388,,3.8614626605685842,4.195970823872024,,14212.0,623352.0,-0.04667477607727048,-0.4112380087375641,0.3645632088184357,0.8143999695777893,0.08788443133234977,1.7588050484657287,1.3146579310297966,1.648066258430481,1.240066647529602,1.2,0.07812798321247104,-0.055200088841209125,1.8,0.6,14212.0,623352.0,5
Kenley Jansen,0.3333333333333333,0.1111111111111111,2.0,5.666666666666667,0.0,6.222222222222222,13.755016166510583,2.163448863757463,0.8932143499842427,0.1751322751322751,0.92508948,0.39871039844444445,0.08465608455555557,,1.671895768152212,,2.164894468973566,2.410506603576609,,3096.0,445276.0,0.19651709331406486,-0.42228869741989505,0.6188057768676016,1.5845555530654059,0.16685259300801483,1.1098068232337635,1.2532190680503845,1.2348785806033347,2.352925032377243,1.1111111111111112,0.12670643710427815,0.029038350284322778,2.0,0.6666666666666666,3096.0,445276.0,6
Mark Melancon,0.2,0.2,0.6,2.6,0.0,2.46,7.258742952606783,2.521679016248803,0.9818183520608992,0.3090909090909091,0.845,0.6332167828,0.08,,4.363636704121798,,3.780541777311857,3.3076702505765354,,4264.0,453343.0,-0.10951921512241827,-0.259306825697422,0.14978761206511987,-0.47199995517730714,-0.04365050345659259,0.678844352811575,1.466266691684723,0.7399300143122673,0.3195666745305061,0.8,-0.01379186809062958,-0.04898475443385088,0.4,0.4,4264.0,453343.0,2
