Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jose Altuve","HOU",18,80,7,14,14,2,0.1125,0.175,0.323943662,0.3,0.309859154,0.3875,0.633802816,0.4175793413932507,,168.23193680331397,,,,,"Jose Altuve",5417,514888
"George Springer","HOU",18,83,6,13,9,0,0.13253012,0.228915662,0.319444445,0.319148936,0.291666666,0.385542168,0.611111111,0.4114241919866422,,164.0219965673831,,,,,"George Springer",12856,543807
"Justin Turner","LAD",15,69,4,8,14,1,0.144927536,0.130434782,0.25,0.279069767,0.285714285,0.420289855,0.535714285,0.40939658880233765,,157.1949039126453,,,,,"Justin Turner",5235,457759
"Enrique Hernández","LAD",13,31,3,6,8,0,0.161290322,0.129032258,0.4,0.277777777,0.32,0.451612903,0.72,0.47955127685300764,,203.25680962645473,,,,,"Enrique Hernandez",10472,571771
"Charlie Culberson","LAD",10,18,1,4,2,0,0,0.166666666,0.4375,0.538461538,0.5,0.470588235,0.9375,0.5590009058223051,,255.42155328460825,,,,,"Charlie Culberson",3298,518586
"Greg Bird","NYY",13,54,3,5,6,0,0.222222222,0.314814814,0.268292682,0.333333333,0.243902439,0.425925925,0.512195121,0.3987337935645625,,152.30534289292393,,,,,"Greg Bird",14131,595885
"Chris Taylor","LAD",15,71,3,12,7,0,0.154929577,0.14084507,0.254237288,0.260869565,0.254237288,0.38028169,0.508474576,0.3789110318036147,,137.17880960553458,,,,,"Chris Taylor",13757,621035
"Joc Pederson","LAD",11,26,3,7,5,0,0.076923076,0.384615384,0.52173913,0.4,0.304347826,0.36,0.826086956,0.47595274448394775,,200.8940985475885,,,,,"Joc Pederson",11899,592626
"Carlos Correa","HOU",18,77,5,10,14,0,0.051948051,0.168831168,0.273972603,0.29090909,0.287671232,0.324675324,0.561643835,0.3698130211272797,,135.56118580673112,,,,,"Carlos Correa",14162,621043
"Daniel Descalso","ARI",4,13,2,3,3,0,0.307692307,0.307692307,0.777777778,0.333333333,0.333333333,0.538461538,1.111111111,0.605910137295723,,277.0881067025647,,,,,"Daniel Descalso",8392,518614
"Hanley Ramirez","BOS",4,15,0,2,3,0,0.066666666,0.133333333,0.142857143,0.666666666,0.571428571,0.6,0.714285714,0.5611562371253968,,258.623669285427,,,,,"Hanley Ramirez",8001,434670
"Yasiel Puig","LAD",15,63,3,8,10,0,0.095238095,0.126984126,0.232142857,0.288888888,0.285714285,0.365079365,0.517857142,0.3746568693055047,,134.3856273204443,,,,,"Yasiel Puig",14225,624577
"Ketel Marte","ARI",4,17,1,4,2,0,0,0.294117647,0.411764706,0.545454545,0.411764705,0.411764705,0.823529411,0.5053409828859217,,211.0567831109608,,,,,"Ketel Marte",13613,606466
"Yuli Gurriel","HOU",18,73,2,5,8,0,0.05479452,0.136986301,0.217391304,0.333333333,0.304347826,0.342465753,0.52173913,0.3637315132846571,,131.40161422357875,,,,,"Yuli Gurriel",19198,493329
"Michael A. Taylor","WSN",5,18,2,3,8,0,0.166666666,0.222222222,0.4,0.333333333,0.333333333,0.444444444,0.733333333,0.48159776462448967,,198.3419005701854,,,,,"Michael A. Taylor",11489,572191
"Rafael Devers","BOS",4,14,2,3,5,0,0.142857142,0.285714285,0.545454546,0.333333333,0.363636363,0.428571428,0.909090909,0.5070783495903015,,221.6359928589688,,,,,"Rafael Devers",17350,646240
"Brian Dozier","MIN",1,5,1,1,1,0,0.2,0.4,0.75,1,0.5,0.6,1.25,0.7099096894264221,,363.9343602665885,,,,,"Brian Dozier",9810,572821
"Jonathan Lucroy","COL",1,4,0,2,1,0,0.25,0,0.666666667,0.666666666,0.666666666,0.75,1.333333333,0.7893326729536057,,388.3597197323705,,,,,"Jonathan Lucroy",7870,518960
"Mitch Moreland","BOS",4,15,0,4,0,0,0.133333333,0.133333333,0.153846154,0.454545454,0.384615384,0.466666666,0.538461538,0.43202207883199056,,170.29972246964599,,,,,"Mitch Moreland",3086,519048
"Jay Bruce","CLE",5,21,2,5,4,0,0.095238095,0.38095238,0.388888889,0.333333333,0.277777777,0.333333333,0.666666666,0.3967269148145403,,146.5149772895486,,,,,"Jay Bruce",9892,457803
"Trevor Story","COL",1,4,1,2,1,0,0,0,0.75,0.333333333,0.5,0.5,1.25,0.7141385972499847,,338.9890715043344,,,,,"Trevor Story",12564,596115
