Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Colby Lewis","TEX",3,0,0,4,4,26.1,8.202529665179274,4.443036901972106,1.0253162081474092,0.203125,0.97014925,0.388059701,0.09375,,1.7088603469123487,,4.444930703829928,4.4479566604000444,,"Colby Lewis",1259,407890
"Matt Cain","SFG",2,0,0,3,3,21.1,5.484373365529368,2.9531241199004294,0,0.20634920634920634,0.95454545,0.306451612,0,,0,,3.1247174123302144,4.784840193051579,,"Matt Cain",4732,430912
"Madison Bumgarner","SFG",2,0,0,4,3,20.2,7.838708471681461,2.177419019911517,0.43548380398230335,0.29310344827586204,0.84070796,0.368421052,0.052631578,,2.177419019911517,,2.8359069796432137,3.3296276506294786,,"Madison Bumgarner",5524,518516
"Cliff Lee","TEX",3,2,0,5,5,35.2,11.859811392837754,0.5046728252271384,0.5046728252271384,0.29069767441860467,0.66176471,0.388235294,0.0625,,2.7757005387492617,,1.4236370547222064,1.7903571017413737,,"Cliff Lee",1636,424324
"Tim Lincecum","SFG",4,1,0,6,5,37,10.459458119922521,2.189188908820993,0.7297296362736643,0.24719101123595505,0.77922078,0.439560439,0.088235294,,2.4324321209122144,,2.6183830256832974,2.6865496051597906,,"Tim Lincecum",5705,453311
"Roy Halladay","PHI",2,1,0,3,3,22,8.181818181818182,1.2272727272727273,0.8181818181818182,0.20689655172413793,0.77464789,0.5,0.111111111,,2.4545454545454546,,2.850569699027322,2.6679479714144363,,"Roy Halladay",1303,136880
"Cole Hamels","PHI",1,1,0,2,2,15,10.2,0.6,0,0.24324324324324326,0.7,0.485714285,0,,1.2,,1.0111757596333821,1.8253358334302905,,"Cole Hamels",4972,430935
"Mariano Rivera","NYY",0,0,3,6,0,6.1,2.8421066897074496,0,0,0.2,1,0.421052631,0,,0,,2.4462631619206157,3.796055540721976,,"Mariano Rivera",844,121250
"Andy Pettitte","NYY",1,1,0,2,2,14,5.785714285714286,0.6428571428571429,1.2857142857142858,0.2,0.85365854,0.428571428,0.117647058,,2.5714285714285716,,3.8635567120143346,3.4893482750015603,,"Andy Pettitte",840,120485
"Jonny Venters","ATL",0,0,0,4,0,5.1,13.499983906765095,0,0,0.5833333333333334,1,0.75,0,,0,,0.07784600257447227,0.3068282503617419,,"Jonny Venters",7175,458924
"Derek Holland","TEX",1,0,0,6,0,11.1,7.147057219772963,5.558822282045638,0.7941174688636625,0.26666666666666666,0.68493151,0.6,0.1,,4.764704813181975,,4.489606815391005,4.420112811010359,,"Derek Holland",4141,502706
"Ryan Madson","PHI",0,1,0,6,0,7.2,12.913038123985737,3.521737670177928,1.173912556725976,0.26666666666666666,1,0.4375,0.25,,1.173912556725976,,3.077842426300049,2.019359444683731,,"Ryan Madson",1852,425492
"Brian Wilson","SFG",1,0,6,10,0,11.2,12.342857815489515,3.0857144538723786,0,0.21739130434782608,0.9,0.454545454,0,,0,,1.6206994897492037,2.248765866619434,,"Brian Wilson",6485,451216
"Jeremy Affeldt","SFG",0,0,0,5,0,4,9.000009119519891,4.500004559759946,0,0.125,0.33333333,0.625,0,,4.500004559759946,,2.577841919660055,3.1884625937368183,,"Jeremy Affeldt",583,346793
"Javier López","SFG",1,0,0,9,0,5.2,9.529416041392626,1.5882360068987709,0,0.09090909090909091,0.5,0.454545454,0,,1.5882360068987709,,1.4896064194012781,2.5671717065542863,,"Javier Lopez",1663,425657
"Tim Hudson","ATL",0,0,0,1,1,7,6.428571428571429,5.142857142857143,0,0.2,0.875,0.631578947,0,,0,,3.3635567120143346,4.410333949753216,,"Tim Hudson",921,218596
"Darren Oliver","TEX",0,1,1,8,0,9.1,9.64285845659235,3.8571433826369397,0,0.28,0.54545455,0.4,0,,4.821429228296175,,2.220699452380729,3.5291711778194568,,"Darren Oliver",206,119984
"Craig Kimbrel","ATL",0,1,0,4,0,4.1,14.538465804603518,2.076923686371931,0,0.2,0,0.8,0,,2.076923686371931,,0.5393801429565772,0.8212048665844303,,"Craig Kimbrel",6655,518886
"Jon Rauch","MIN",0,0,0,2,0,1.2,5.400002059937309,0,0,0,1,0.5,0,,0,,1.8778419685362024,3.3433306604102078,,"Jon Rauch",1475,400010
"Neftalí Feliz","TEX",0,0,1,7,0,7.1,13.500000585209264,6.136363902367847,1.2272727804735695,0.15384615384615385,1,0.428571428,0.166666666,,1.2272727804735695,,3.8960242799490956,3.1224934278954595,,"Neftali Feliz",18,491703
"Brad Lidge","PHI",0,0,2,4,0,4,11.25,6.75,0,0.3,1,0.444444444,0,,0,,3.577842426300049,4.799082536995411,,"Brad Lidge",563,400058
"Travis Wood","CIN",0,0,0,1,0,3.1,8.100008304127623,2.700002768042541,0,0.125,1,0.125,0,,0,,2.177841503619202,4.742448365314135,,"Travis Wood",9884,475243
"Joaquín Benoit","TBR",1,0,0,3,0,3.2,7.363629979541103,0,0,0,1,0.375,0,,0,,1.4414802086242484,2.4406757965503,,"Joaquin Benoit",1437,276542
"Jose Contreras","PHI",1,0,0,4,0,4,9.000002145767724,0,0,0.1111111111111111,1,0.333333333,0,,0,,1.0778419494627771,2.6043924517899812,,"Jose Contreras",1660,425747
"Kyle Farnsworth","ATL",1,0,0,2,0,2,4.499993562707573,4.499993562707573,0,0.2,1,0.2,0,,0,,5.0778395652811925,6.909697110830997,,"Kyle Farnsworth",278,150035
"Brian Fuentes","MIN",0,0,0,2,0,2.2,6.749991953382548,0,0,0.14285714285714285,1,0.857142857,0,,0,,1.5778442144372606,2.0358087100118,,"Brian Fuentes",429,150118
"Roy Oswalt","PHI",1,1,0,4,3,19.2,8.69491556167809,1.8305085393006508,1.372881404475488,0.2909090909090909,0.80808081,0.303571428,0.111111111,,2.745762808950976,,3.891401777100338,3.5849686978978825,,"Roy Oswalt",571,400061
"Alexi Ogando","TEX",0,0,0,5,0,6,11.99999427795683,1.4999992847446038,1.4999992847446038,0.3076923076923077,1,0.285714285,0.125,,1.4999992847446038,,3.077842426300049,2.5394961639307003,,"Alexi Ogando",10261,468396
"Wade Davis","TBR",1,0,0,1,1,5,12.6,5.4,1.8,0.46153846153846156,0.93023256,0.428571428,0.25,,3.6,,4.6778424263000495,3.0548345148563385,,"Wade Davis",7441,451584
"Matt Garza","TBR",0,0,0,1,1,6,6,3,1.5,0.23529411764705882,0.89285714,0.666666666,0.333333333,,1.5,,4.911175759633383,3.355129148314397,,"Matt Garza",3340,490063
"Derek Lowe","ATL",0,2,0,2,2,11.2,10.800005885536132,4.628573950944056,0.7714289918240094,0.19230769230769232,0.75471698,0.807692307,0.2,,2.314286975472028,,3.334985423574719,2.7440880061449078,,"Derek Lowe",199,117955
"Jeff Niemann","TBR",0,0,0,1,0,3,12,3,0,0.25,1,0.5,0,,0,,1.4111757596333827,2.225335833430291,,"Jeff Niemann",8591,435298
"Guillermo Mota","SFG",0,0,0,2,0,2.1,0,7.714296224180255,0,0.16666666666666666,1,0.333333333,0,,0,,5.649274501026801,7.742831828750069,,"Guillermo Mota",1467,150407
"Grant Balfour","TBR",0,0,0,3,0,3.2,2.454543326513701,0,0,0.18181818181818182,1,0.454545454,0,,0,,2.5323883537414487,3.5315839416675003,,"Grant Balfour",718,346797
