Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Clayton Kershaw","LAD",0.589428037405014,-1.5797439813613892,2.169172018766403,1.2060999274253845,0.1306045949459076,1.2507660435241403,7.127999782562256,2.132479953765869,1.8499999046325684,4,-0.07756950706243515,0.5488231363536894,1,0,"Clayton Kershaw",2036,477132
"Jon Lester","CHC",0.9947880953550339,-1.5872439295053482,2.5820319652557373,7.410299777984619,0.8055910803377628,0.9626217735224757,0.5680000185966492,0.8300666908423106,1.172933300336202,6,0.6292241103947163,0.4041912171174109,0,0,"Jon Lester",4930,452657
"Corey Kluber","CLE",0.792855978012085,-1.6619939804077148,2.4548499584198,8.139399528503418,0.8637852072715759,0.9016916751861572,,0.8700000047683716,0.7617666721343994,6,0.4846894145011902,0.39460890867385434,0,0,"Corey Kluber",2429,446372
"Andrew Miller","CLE",0.9832559823989868,-0.8330560326576233,1.8163120746612549,6.165999889373779,0.6451691389083862,1.2102627754211426,1.1410499811172485,1.107759952545166,1.115822196006775,9,0.42812830209732056,0.38430351218932246,8,1,"Andrew Miller",6785,453192
"Jake Arrieta","CHC",0.26200199127197266,-0.929751992225647,1.1917539834976196,0.8190000057220459,0.07876761257648468,0.7030751705169678,,0.871399998664856,0.7185500264167786,4,0.024972712621092796,0.3476787509191768,0,0,"Jake Arrieta",4153,453562
"Mike Clevinger","CLE",0.037317998707294464,-0.06413400173187256,0.10145200043916702,0.07100002467632294,0.007321096956729889,0.23474609851837158,0.2881999909877777,0.2358500063419342,0.8040000200271606,1,-0.18717660009860992,0.3461483527404282,0,0,"Mike Clevinger",12808,605182
"Justin Grimm","CHC",0.1251159906387329,-0.16035600006580353,0.28547200560569763,1.787000060081482,0.198627308011055,0.45846354961395264,0.9968000054359436,0.9571666717529297,0.9404333233833313,6,-0.02044210024178028,0.2933449095143742,1,1,"Justin Grimm",11720,518748
"Mike Montgomery","CHC",0.2660540044307709,-1.0001980066299438,1.2662519216537476,-0.049000032246112823,-0.017745018005371094,1.1559052467346191,1.2890666723251343,1.1238545179367065,0.8691499829292297,8,-0.06309101730585098,0.29326040634735034,3,1,"Mike Montgomery",4869,543557
"Pedro Báez","LAD",0.14376400411128998,-0.28968000411987305,0.43344399333000183,-0.3180001378059387,-0.05577140301465988,0.7238377332687378,1.805999994277954,1.229542851448059,1.2518857717514038,7,-0.04575299099087715,0.24436657177517015,2,2,"Pedro Baez",5420,520980
"Aroldis Chapman","CHC",0.16900791227817535,-1.7202119827270508,1.8892199993133545,-0.2510001063346863,-0.06541141867637634,1.5352516174316406,2.08974289894104,1.739923119544983,0.6080999970436096,4,-0.04678811877965927,0.15687294810614633,3,2,"Aroldis Chapman",10233,547973
"Kenley Jansen","LAD",0.8057760000228882,-0.7255560159683228,1.531332015991211,1.7009999752044678,0.16554509103298187,1.742641806602478,1.7574666738510132,1.5893714427947998,3.607800006866455,2,0.3060252070426941,0.15636241442373927,4,1,"Kenley Jansen",3096,445276
"Cody Allen","CLE",1.2115039825439453,-0.9213699698448181,2.132874011993408,6.056000232696533,0.6400390267372131,2.0488226413726807,1.5192666053771973,1.4366599321365356,1.815600037574768,2,0.4776611924171448,0.1136559660716231,6,0,"Cody Allen",12183,592102
