Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",157,705,36,115,111,16,0.117730496,0.260992907,0.274086379,0.349489795,0.287375415,0.377304964,0.561461794,0.4023707492839284,,166.653971229529,6.182288255542517,57.834455663501224,-4.465483903884888,8.286635278937641,"Mike Trout",10155,545361
"Buster Posey","SFG",147,605,22,72,89,0,0.07768595,0.114049586,0.179159049,0.318965517,0.310786106,0.363636363,0.489945155,0.37080105930566787,,142.48660551206467,-3.4916350471321493,25.361936755570632,24.893299520015717,7.522199260667045,"Buster Posey",9166,457763
"Jonathan Lucroy","MIL",153,655,13,73,69,4,0.100763358,0.108396946,0.164102564,0.324055666,0.3008547,0.372519083,0.464957264,0.3683586009989487,,132.80852756999855,-1.860522780334577,22.261860482123573,25.7005558013916,7.436801789107634,"Jonathan Lucroy",7870,518960
"Andrew McCutchen","PIT",146,648,25,89,83,18,0.129629629,0.177469135,0.228102189,0.355072463,0.313868613,0.410493827,0.541970802,0.4115211700089276,,168.50492968814265,1.4562123271171004,51.28599628466252,-3.4347774982452393,7.401350989397724,"Andrew McCutchen",9847,457705
"Giancarlo Stanton","MIA",145,638,37,89,105,13,0.147335423,0.26645768,0.26716141,0.353293413,0.287569573,0.394984326,0.554730983,0.4030930542596388,,160.88182220813854,0.22344658034853637,43.824852644306866,-0.7222247123718262,6.847266429597825,"Giancarlo Stanton",4949,519317
"Michael Brantley","CLE",156,676,20,94,97,23,0.076923076,0.082840236,0.178396072,0.333333333,0.327332242,0.384615384,0.505728314,0.38859283755577745,,151.1212814892754,5.210334778064862,43.19618322627088,-4.920210897922516,6.531041773694094,"Michael Brantley",4106,488726
"Anthony Rendon","WSN",153,683,21,111,83,17,0.084919472,0.152269399,0.185970636,0.314401622,0.287112561,0.350954478,0.473083197,0.36076156547037946,,130.0167709632931,6.824079127749428,29.837270479563244,7.874503135681152,6.405440976268073,"Anthony Rendon",12861,543685
"José Bautista","TOR",155,673,35,101,103,6,0.154531946,0.142644873,0.238698011,0.287383177,0.285714285,0.403273809,0.524412296,0.4017653201964547,,160.1791459911202,-2.7006598566658795,41.817221508427245,-6.735469162464142,6.170321317799444,"Jose Bautista",1887,430832
"Adrian Beltré","TEX",148,614,19,79,77,1,0.092833876,0.120521172,0.167577413,0.344902386,0.324225865,0.387622149,0.491803278,0.3801541754886037,,142.48980169399962,-0.22556854132562876,28.450953544508813,5.606122970581055,5.854340149438846,"Adrian Beltre",639,134181
"Carlos Gómez","MIL",148,644,23,95,73,34,0.072981366,0.218944099,0.193379791,0.33898305,0.283972125,0.356143079,0.477351916,0.3675216358520009,,132.2366626363269,1.6418390441685915,24.945712594608743,7.446808338165283,5.69242458543045,"Carlos Gomez",4881,460576
"Josh Donaldson","OAK",158,695,29,93,98,8,0.109352517,0.187050359,0.200657895,0.278145695,0.25493421,0.342446043,0.455592105,0.3505351482094198,,129.72638484674937,-1.9447369708213955,20.764382956792904,9.185160279273987,5.683291434667834,"Josh Donaldson",5038,518626
"Robinson Canó","SEA",157,665,14,77,82,10,0.091729323,0.102255639,0.139495798,0.335271317,0.314285714,0.381954887,0.453781512,0.3607484276904616,,136.82990640385927,1.286375409225002,28.207652849631835,1.9457712173461914,5.60213637286008,"Robinson Cano",3269,429664
"Yasiel Puig","LAD",148,640,16,92,69,11,0.1046875,0.19375,0.184587814,0.355608591,0.295698924,0.382445141,0.480286738,0.3794457883346738,,148.33074645678005,1.5856708695646375,36.30694472495734,-5.475412845611572,5.507914475090461,"Yasiel Puig",14225,624577
"Alex Gordon","KCR",156,643,19,87,74,12,0.101088646,0.195956454,0.165186501,0.31042654,0.26642984,0.351477449,0.431616341,0.3459377457916176,,120.27845222028452,5.539160963846371,19.871569534273377,9.384212017059326,5.427761977180762,"Alex Gordon",5209,460086
"Anthony Rizzo","CHC",140,616,32,89,78,5,0.118506493,0.188311688,0.240458016,0.310526315,0.286259541,0.386363636,0.526717557,0.39664290965288534,,155.45657811023938,-0.8492115917615592,37.49730812253895,-7.475576639175415,5.339361746451488,"Anthony Rizzo",3473,519203
"José Abreu","CHW",145,622,36,80,107,3,0.081993569,0.210610932,0.264388489,0.356234096,0.316546762,0.382636655,0.580935251,0.4112368425388116,,167.40992093473054,-2.9426198569126427,43.14535292006892,-14.649203062057495,5.2719763699511795,"Jose Abreu",15676,547989
"Jayson Werth","WSN",147,629,16,85,82,9,0.131955484,0.179650238,0.162921348,0.343137254,0.292134831,0.394276629,0.455056179,0.3767470129953025,,140.93899027181388,6.20279402541928,35.10825806705775,-6.156609296798706,5.265171679008015,"Jayson Werth",1327,150029
"Jose Altuve","HOU",158,707,7,85,59,56,0.050919377,0.074964639,0.112121213,0.360330578,0.34090909,0.376770538,0.453030303,0.36267964266912106,,136.684764667081,4.7448296886868775,33.253604560677566,-8.147690534591675,5.193409259487126,"Jose Altuve",5417,514888
"Miguel Cabrera","DET",159,685,25,101,109,1,0.08759124,0.170802919,0.211129296,0.345833333,0.312602291,0.370802919,0.523731587,0.3838422499762641,,148.39075045793803,-2.0029461462982,34.432687952499,-8.78037714958191,5.1774291040192,"Miguel Cabrera",1744,408234
"Kyle Seager","SEA",159,654,25,71,96,7,0.079510703,0.180428134,0.186440678,0.295555555,0.26779661,0.333843797,0.454237288,0.3462233140835395,,126.69489127216497,-3.7847986195702106,15.405392848989344,11.04462218284607,5.1579589179853915,"Kyle Seager",9785,572122
"Yan Gomes","CLE",135,518,21,61,74,0,0.046332046,0.231660231,0.193814433,0.325714285,0.278350515,0.312741312,0.472164948,0.34005046747263196,,117.2504513784165,0.6852569892071187,10.507340591428045,18.142208576202393,4.929938670847112,"Yan Gomes",9627,543228
"Josh Harrison","PIT",143,550,13,77,52,18,0.04,0.147272727,0.175,0.352803738,0.315384615,0.346715328,0.490384615,0.3652814174482984,,136.91114931686968,3.3666499552782625,26.15497634872899,0.9749455451965332,4.802914532485163,"Josh Harrison",8202,543281
"Ben Zobrist","TBR",146,654,10,83,52,10,0.114678899,0.128440366,0.122807018,0.300829875,0.271929824,0.354294478,0.394736842,0.333057580170808,,116.66625263085552,2.2360234120860696,14.216914279507964,7.953194722533226,4.688503227065241,"Ben Zobrist",7435,450314
"Jason Heyward","ATL",149,649,11,74,58,20,0.103235747,0.15100154,0.113438045,0.308351177,0.270506108,0.351309707,0.383944153,0.329288046334181,,109.42517694608394,3.394232477294281,10.260589521044317,12.63590669631958,4.667431422211185,"Jason Heyward",4940,518792
"Adam Jones","BAL",159,682,29,88,96,7,0.027859237,0.195014662,0.187888199,0.310838445,0.2810559,0.310850439,0.468944099,0.34027662308730744,,116.65033121815674,5.157379868905991,17.639278610278588,3.2900549173355103,4.649021832993607,"Adam Jones",6368,430945
"Howie Kendrick","LAA",157,674,7,85,75,14,0.071216617,0.163204747,0.103727715,0.346613545,0.293354943,0.347242921,0.397082658,0.327539188110271,,114.43964607190057,0.9360232809558511,11.633709328830406,9.478205680847168,4.641443979985874,"Howie Kendrick",4229,435062
"Jhonny Peralta","STL",157,628,21,61,75,3,0.092356687,0.178343949,0.180357142,0.292343387,0.2625,0.335987261,0.442857142,0.34341067113815404,,120.16530762960225,-3.619681086856872,10.595639843248453,12.500265121459961,4.619543032105093,"Jhonny Peralta",1738,425509
"Victor Martinez","DET",151,641,32,87,103,3,0.109204368,0.06552262,0.229946524,0.31643002,0.335115864,0.408736349,0.565062388,0.4113496902716296,,167.58428870984173,-7.591318853897974,40.02734225318553,-18.22851327061653,4.602920170047558,"Victor Martinez",393,400121
"Todd Frazier","CIN",157,660,29,88,80,20,0.078787878,0.21060606,0.185929649,0.309468822,0.273031825,0.336363636,0.458961474,0.3499393146088783,,121.75408016908568,4.35008411295712,20.46681052621507,0.8844958543777466,4.534483729984731,"Todd Frazier",785,453943
"Ian Kinsler","DET",161,726,17,100,92,15,0.039944903,0.108815426,0.144736842,0.288364249,0.274853801,0.307053941,0.419590643,0.31894888772198365,,103.11088372558983,5.688492052257061,8.171018036484082,10.07921314239502,4.506982601364896,"Ian Kinsler",6195,435079
"Starling Marte","PIT",135,545,13,73,56,30,0.060550458,0.240366972,0.161616162,0.373219373,0.29090909,0.355963302,0.452525252,0.3584850411896312,,132.26745624011022,7.801848916802555,27.54213332560258,-3.022131562232971,4.50002697534724,"Starling Marte",9241,516782
"Brian Dozier","MIN",156,707,23,112,71,21,0.125884016,0.182461103,0.173913043,0.268722466,0.242474916,0.345170454,0.416387959,0.33953693233546967,,116.57997675148918,9.163048933492973,22.047820823966603,-3.3006138801574707,4.495933378968177,"Brian Dozier",9810,572821
"Marcell Ozuna","MIA",153,612,23,72,85,3,0.066993464,0.267973856,0.185840708,0.336814621,0.269026548,0.316993464,0.454867256,0.3376459553471954,,116.16442744557925,1.1988543511833996,12.303479982843795,9.805874824523926,4.458178614812126,"Marcell Ozuna",10324,542303
"Freddie Freeman","ATL",162,708,18,93,78,3,0.127118644,0.204802259,0.172981878,0.351230425,0.28830313,0.38559322,0.461285008,0.37395011125640437,,139.94098622144955,-3.777405054308474,27.965320584955876,-8.799079179763794,4.4542618010759885,"Freddie Freeman",5361,518692
"Lorenzo Cain","KCR",133,502,5,55,53,28,0.047808764,0.215139442,0.110403397,0.379501385,0.301486199,0.338645418,0.411889596,0.33036942172050476,,109.41552857604846,5.124542812351137,10.31997674093923,14.374284505844116,4.440879976968715,"Lorenzo Cain",9077,456715
"Denard Span","WSN",147,668,5,94,37,31,0.074850299,0.097305389,0.114754098,0.329650092,0.301639344,0.354887218,0.416393442,0.34138937895915594,,116.78052785960368,6.070589602692053,18.653301537679802,-0.09022760391235352,4.2552228997146955,"Denard Span",8347,452655
"Erick Aybar","LAA",156,641,7,77,68,16,0.056162246,0.096723868,0.100169779,0.297348484,0.27843803,0.321316614,0.378607809,0.30803292030791757,,100.82899043850722,2.603185810148716,3.187277401639259,14.840603828430176,4.1892912561766185,"Erick Aybar",4082,430947
"Ian Desmond","WSN",154,648,24,73,91,24,0.070987654,0.282407407,0.175379427,0.326478149,0.254637436,0.313271604,0.430016863,0.328571245626167,,108.02240812786104,3.749134975951165,9.58455245102032,8.342461824417114,4.119015347880531,"Ian Desmond",6885,435622
"Neil Walker","PIT",137,571,23,74,76,2,0.078809106,0.154115586,0.1953125,0.287841191,0.271484375,0.342105263,0.466796875,0.35585016956631565,,130.46715345379278,1.2104818015359342,20.73858950535066,-0.8164958953857422,4.082061176179926,"Neil Walker",7539,435522
"Christian Yelich","MIA",144,660,9,94,54,21,0.106060606,0.207575757,0.118556701,0.356164383,0.283505154,0.362252663,0.402061855,0.34073991804677045,,118.27840887052561,3.8441967866383493,17.385937588649476,-0.23790359497070312,4.073433854406225,"Christian Yelich",11477,592885
"Hunter Pence","SFG",162,708,20,106,74,13,0.073446327,0.183615819,0.167692308,0.318091451,0.276923076,0.331920903,0.444615384,0.3405257214045694,,121.80067353050377,6.085354786599055,23.4112363958599,-7.883754134178162,4.055132433300876,"Hunter Pence",8252,452254
"Nelson Cruz","BAL",159,678,40,87,108,4,0.081120943,0.206489675,0.254486134,0.287671232,0.270799347,0.333333333,0.525285481,0.369789531871454,,137.24320127771293,-4.828242760151625,22.927324085549525,-8.9559326171875,3.8720144218602233,"Nelson Cruz",2434,443558
"Dustin Pedroia","BOS",135,609,7,72,53,6,0.083743842,0.123152709,0.09800363,0.307368421,0.27767695,0.336617405,0.37568058,0.3177769956620116,,98.18728342594896,-0.9807118205353618,-2.1941582315174664,17.743486166000366,3.807003281431352,"Dustin Pedroia",8370,456030
"José Reyes","TOR",143,655,9,94,51,30,0.058015267,0.111450381,0.11147541,0.312030075,0.286885245,0.327718223,0.398360655,0.32104231728000876,,103.85401985619674,8.116222199751064,10.891002810178215,2.912517547607422,3.7742368100995836,"Jose Reyes",1736,408314
"Jimmy Rollins","PHI",138,609,17,78,55,28,0.105090311,0.164203612,0.150557621,0.268867924,0.243494423,0.323432343,0.394052044,0.31949741980492674,,103.33880563297144,5.368303247494623,7.650749732063294,8.304494857788086,3.7731787344038947,"Jimmy Rollins",971,276519
"Hanley Ramirez","LAD",128,512,13,64,71,14,0.109375,0.1640625,0.16481069,0.322946175,0.282850779,0.369140625,0.447661469,0.3620432927327998,,136.44031466355747,0.4906092674937099,21.433867753129043,-2.795295238494873,3.7452781543388487,"Hanley Ramirez",8001,434670
"Justin Upton","ATL",154,641,29,77,102,8,0.093603744,0.26677067,0.220848056,0.331550802,0.270318021,0.3421875,0.491166077,0.36348150733491064,,132.78820631295304,1.1148850799072534,24.707053619925606,-10.136393547058105,3.7276087695376083,"Justin Upton",5222,457708
"Chase Utley","PHI",155,664,11,74,78,10,0.079819277,0.128012048,0.137521222,0.294820717,0.269949066,0.338855421,0.407470288,0.3245777401821745,,106.80998610704542,6.619676060974598,11.695499171115289,2.0363080501556396,3.7120015356109333,"Chase Utley",1679,400284
"Adam Eaton","CHW",123,538,1,76,35,15,0.07992565,0.154275092,0.100823045,0.358910891,0.300411522,0.361940298,0.401234567,0.340038958658923,,117.73102340628708,1.5144971238914877,12.000005270879937,4.762617111206055,3.695093944408328,"Adam Eaton",11205,594809
"Edwin Encarnación","TOR",128,542,34,75,98,2,0.114391143,0.151291512,0.278825996,0.259668508,0.268343815,0.354243542,0.547169811,0.3889956780111612,,151.26902519780714,0.23624183773063123,30.780371161690454,-14.364791631698608,3.6708298521853173,"Edwin Encarnacion",2151,429665
"Adrián González","LAD",159,660,27,83,116,1,0.084848484,0.169696969,0.20642978,0.293736501,0.275803722,0.334848484,0.482233502,0.3514328616372268,,129.19062989851648,-2.3199977539479733,19.30617040615727,-5.830162525177002,3.6706554887567826,"Adrian Gonzalez",1908,408236
"Evan Longoria","TBR",162,700,22,83,91,5,0.081428571,0.19,0.150641025,0.284518828,0.253205128,0.320457796,0.403846153,0.3159109993382942,,104.70208760625088,2.5816559018567204,6.199602561231398,4.562645316123962,3.5959223596925045,"Evan Longoria",9368,446334
"Leonys Martin","TEX",155,583,7,68,40,31,0.066895368,0.195540308,0.090056285,0.335748792,0.2739212,0.324652777,0.363977485,0.3061384562838556,,90.8447368481134,6.683313243323937,0.8163578016437381,13.557513952255249,3.5883535180225397,"Leonys Martin",11846,547982
"Dee Strange-Gordon","LAD",148,650,2,92,34,64,0.047692307,0.164615384,0.088669951,0.345924453,0.288998357,0.326120556,0.377668308,0.3121469182061633,,102.348110211331,10.18355804332532,11.896820930558501,1.1053951978683472,3.585466449552536,"Dee Strange-Gordon",8203,543829
"Jacoby Ellsbury","NYY",149,635,16,71,70,39,0.077165354,0.146456692,0.147826087,0.295983086,0.271304347,0.328075709,0.419130434,0.32711262249984496,,109.0917594112127,8.030282897641882,14.376209772046412,-2.0057681798934937,3.5480325402386153,"Jacoby Ellsbury",4727,453056
"Alcides Escobar","KCR",162,620,3,74,50,31,0.037096774,0.133870967,0.091537133,0.325955734,0.284974093,0.316993464,0.376511226,0.3066198936070631,,92.84410384821562,4.568303399486467,-0.30843121045058464,13.145395278930664,3.5474454021359083,"Alcides Escobar",6310,444876
"Yoenis Cespedes","- - -",152,645,22,89,100,7,0.054263565,0.198449612,0.19,0.29321663,0.26,0.300775193,0.45,0.32586803753799365,,109.66764329314745,2.0670377265196294,8.921189797470067,2.302021026611328,3.4567008633492886,"Yoenis Cespedes",13110,493316
"Matt Carpenter","STL",158,709,8,99,59,5,0.133991537,0.156558533,0.102521008,0.317525773,0.272268907,0.374823196,0.374789915,0.3385264347631035,,116.82810354070934,-0.16066981572657824,13.23219805135102,-3.512206792831421,3.4214404789167974,"Matt Carpenter",8090,572761
"Chase Headley","- - -",135,531,13,55,49,7,0.096045197,0.229755178,0.129787234,0.300595238,0.242553191,0.327683615,0.372340425,0.3157297454914957,,103.16553443983273,-1.2552681325469166,0.5119245168581794,14.153536677360535,3.4014095073353703,"Chase Headley",4720,452104
"Kole Calhoun","LAA",127,537,17,90,58,5,0.0707635,0.193668528,0.178498986,0.312834224,0.271805273,0.325233644,0.450304259,0.3413162045389692,,124.05267036576323,2.0050579661037773,16.202528905261453,-2.3834497928619385,3.3687710224737133,"Kole Calhoun",11200,594777
"Trevor Plouffe","MIN",136,582,14,69,80,2,0.091065292,0.187285223,0.165384616,0.298507462,0.257692307,0.328178694,0.423076923,0.3311315691676633,,110.71506683074985,-0.6785233521368355,6.176221151670314,6.0942442417144775,3.354183800017488,"Trevor Plouffe",7462,461858
"Brett Gardner","NYY",148,636,17,87,58,21,0.088050314,0.210691823,0.165765766,0.304878048,0.255855855,0.327447833,0.421621621,0.3313046498627762,,112.01678030299676,5.434053235221654,13.834814445131126,-3.3605536222457886,3.3434942757935655,"Brett Gardner",9927,458731
"Miguel Montero","ARI",136,560,13,40,72,0,0.1,0.173214285,0.126789366,0.275324675,0.243353783,0.328571428,0.370143149,0.3074271395558216,,89.3122814417073,-5.624788851244375,-12.343178828383085,25.780494689941406,3.3342152354332626,"Miguel Montero",3364,471083
"Alexei Ramirez","CHW",158,657,15,82,74,21,0.03652968,0.123287671,0.135048231,0.29245283,0.273311897,0.304878048,0.408360128,0.31443372514189744,,99.86476527100149,1.2337370747700334,1.136074761292718,8.077634572982788,3.277689389013088,"Alexei Ramirez",5133,493351
"Pablo Sandoval","SFG",157,638,16,68,73,0,0.061128526,0.13322884,0.136054422,0.299595141,0.278911564,0.32445141,0.414965986,0.3230171475229384,,109.83776267571159,-4.588181030936539,2.457276375350073,7.887625575065613,3.254126585738562,"Pablo Sandoval",5409,467055
"Luis Valbuena","CHC",149,547,16,68,51,1,0.118829981,0.206581352,0.186192469,0.294285714,0.248953974,0.34065934,0.435146443,0.34201061406698613,,118.12850751435559,0.4594969798345119,11.590685823029913,1.3453445434570312,3.236044568149429,"Luis Valbuena",4969,472528
"Brian McCann","NYY",140,538,23,57,75,0,0.059479553,0.143122676,0.173737374,0.230576441,0.232323232,0.286245353,0.406060606,0.3057127880206543,,94.1598523616878,-3.3298246948979795,-6.783484093905067,19.213521718978882,3.2198600125383203,"Brian McCann",4810,435263
"Starlin Castro","CHC",134,569,14,58,65,4,0.061511423,0.175746924,0.145833334,0.336538461,0.291666666,0.339191564,0.4375,0.34091496815723654,,117.37989632332628,-4.739870261168107,6.36086182744088,5.631080269813538,3.205572276426109,"Starlin Castro",4579,516770
"Matt Holliday","STL",156,667,20,83,90,4,0.110944527,0.149925037,0.168989547,0.298245614,0.271777003,0.370314842,0.44076655,0.3604187704678934,,131.78626416590748,-1.9783539618365467,21.82057955201643,-12.824085712432861,3.2025588642671226,"Matt Holliday",1873,407812
