Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Matt Olson","OAK",4.823027610778809,-8.00117015838623,12.824197769165039,29.98000144958496,2.951392889022827,0.9413155913352966,,0,2.859290599822998,2.264418871447032,"Matt Olson",14344,621566
"Alex Gordon","KCR",1.2932463884353638,-10.659908294677734,11.953153610229492,5.339999675750732,0.5499119162559509,0.9965021014213562,1.2325999736785889,2,-0.4791084825992584,1.7768943945313533,"Alex Gordon",5209,460086
"Jose Iglesias","CIN",0.6145324110984802,-9.974227905273438,10.588760375976562,-8.803999900817871,-0.8430975079536438,1.0563340187072754,1.479866623878479,6,-1.0750871896743774,1.6568467469880148,"Jose Iglesias",10231,578428
"Jean Segura","PHI",1.5146905183792114,-9.73921012878418,11.253899574279785,6.371500015258789,0.6250675916671753,0.9383584260940552,1.4245333671569824,3,0.030070219188928604,1.584121625055659,"Jean Segura",5933,516416
"Michael Brantley","HOU",3.320927619934082,-10.01455020904541,13.335477828979492,27.05900001525879,2.6974215507507324,0.9565465450286865,2.576200008392334,5,1.8932982683181763,1.5784905716430706,"Michael Brantley",4106,488726
"Shin-Soo Choo","TEX",2.7596986293792725,-9.593181610107422,12.352879524230957,21.983600616455078,1.9914524555206299,0.9312607645988464,1.8684444427490234,9,1.514995813369751,1.448404701595626,"Shin-Soo Choo",3174,425783
"Matt Chapman","OAK",3.6694748401641846,-10.457603454589844,14.12707805633545,29.687999725341797,2.9728121757507324,0.9308281540870667,,0,2.494790554046631,1.4473708686094287,"Matt Chapman",16505,656305
"Evan Longoria","SFG",1.8650860786437988,-8.803565979003906,10.668651580810547,9.625,0.8941797614097595,1.051539659500122,0.948283314704895,12,0.3280276954174042,1.4456439505292815,"Evan Longoria",9368,446334
"Bryce Harper","PHI",4.7109599113464355,-10.873685836791992,15.584646224975586,49.600799560546875,4.858554363250732,0.9881832599639893,0.7440000176429749,3,3.3792366981506348,1.3880570845006819,"Bryce Harper",11579,547180
"Adam Frazier","PIT",1.1585619449615479,-10.409223556518555,11.56778621673584,3.7862002849578857,0.45513609051704407,1.0380865335464478,1.489953875541687,13,-0.25532761216163635,1.37138288069837,"Adam Frazier",15223,624428
"Xander Bogaerts","BOS",4.089319705963135,-11.344322204589844,15.43364143371582,40.06100082397461,3.5631167888641357,1.032723069190979,1.2655999660491943,1,2.6029157638549805,1.3568289421160515,"Xander Bogaerts",12161,593428
