Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Sandy Alcantara","MIA",14,9,0,32,32,228.2,8.147230683139576,1.9679301167003806,0.6297376373441218,0.26158940397350994,0.78822412,0.534201954,0.085106382,97.95842391304348,2.2827989353724414,2.9,2.9856088385869612,3.293084572137847,5.920348167419434,"Sandy Alcantara",18684,645261
"Aaron Nola","PHI",11,13,0,32,32,205,10.317073170731707,1.273170731707317,0.8341463414634146,0.28932038834951457,0.73021182,0.43560606,0.098445595,92.92222055288461,3.2487804878048783,2.74,2.5807236845900374,2.769559269780066,6.29971981048584,"Aaron Nola",16149,605400
"Miles Mikolas","STL",12,13,0,33,32,202.1,6.805601489036635,1.7347611638720835,1.1120263870974894,0.24914089347079038,0.74444444,0.450331125,0.119047619,93.56545361605558,3.2915981058085686,3.89,3.8735512843877125,3.803753464665656,2.825693655759096,"Miles Mikolas",9803,571945
"Corbin Burnes","MIL",12,8,0,33,33,202,10.826732673267326,2.272277227722772,1.0247524752475248,0.25910064239828695,0.76791809,0.470225872,0.141104294,96.15615844726562,2.9405940594059405,3.05,3.1371834769107334,2.8515409662434377,4.592079162597656,"Corbin Burnes",19361,669203
"Framber Valdez","HOU",17,6,0,31,31,201.1,8.672185649548098,2.995033188245993,0.49172186672695406,0.2849264705882353,0.7567804,0.665454545,0.125,94.02301025390625,2.8162252367089184,3.31,3.0577952386935467,2.994579214985594,4.395029544830322,"Framber Valdez",17295,664285
"Gerrit Cole","NYY",13,8,0,33,33,200.2,11.526578657414062,2.2425250306253037,1.4800665202127004,0.2682926829268293,0.78222778,0.424430641,0.168367346,97.77130263545348,3.498339047775474,3.31,3.4662516176063116,2.774320036894379,3.426731586456299,"Gerrit Cole",13125,543037
"Merrill Kelly","ARI",13,8,0,33,33,200.1,7.951747290073269,2.740432681889658,0.9434276445849641,0.26887661141804786,0.76271186,0.427549194,0.099056603,92.372259667756,3.3693844449463004,3.62,3.651532512854616,3.855384333200746,3.18164324760437,"Merrill Kelly",11156,518876
"Shane Bieber","CLE",13,8,0,31,31,200,8.91,1.62,0.81,0.28677839851024206,0.75757576,0.481818181,0.104046242,91.515490981332,2.88,3.51,2.872431001663208,2.9829505360871553,4.770597457885742,"Shane Bieber",19427,669456
"Alek Manoah","TOR",16,7,0,31,31,196.2,8.237288561664572,2.333898425804962,0.7322034277035174,0.24427480916030533,0.82622601,0.374531835,0.071428571,93.8774066943128,2.2423729973420223,3.31,3.3463293188462764,3.9748178928122773,3.9194929599761963,"Alek Manoah",26410,666201
"Martín Pérez","TEX",12,8,0,32,32,196.1,7.7470290631753524,3.1629881973911202,0.5042444952362655,0.2950530035335689,0.77020202,0.514184397,0.06547619,92.91138712565105,2.8879457454440662,3.59,3.265232363856016,3.803612988321262,3.874843120574951,"Martin Perez",6902,527048
"Yu Darvish","SDP",16,8,0,30,30,194.2,9.107877188271154,1.7106165277463588,1.0171233408221594,0.2504970178926441,0.78219013,0.368522072,0.096491228,94.99977401859505,3.0976029015947577,3.49,3.312773477885755,3.5774527251201054,4.17306661605835,"Yu Darvish",13074,506433
"Logan Webb","SFG",15,9,0,32,32,192.1,7.627383217304388,2.2928943413982514,0.5147313827628728,0.2926391382405745,0.71761417,0.567084078,0.082706766,92.37638608870968,2.9012132482998285,3.59,3.0344413982142884,3.3146275272518464,4.243658542633057,"Logan Webb",17995,657277
"Adam Wainwright","STL",11,12,0,32,32,191.2,6.714782965076371,2.535652308490378,0.7513043877008527,0.3018867924528302,0.75021683,0.432387312,0.081218274,88.11704228624535,3.7095654142729604,4.53,3.66025711769508,4.096602041269963,2.89125657081604,"Adam Wainwright",2233,425794
"Triston McKenzie","CLE",11,11,0,31,30,191.1,8.937282467547226,2.0696864661688315,1.1759582194141087,0.23689727463312368,0.80263158,0.327272727,0.103305785,92.66695593207258,2.963414712923554,3.54,3.5932672513791992,3.76704458574396,3.443006368819624,"Triston McKenzie",18000,663474
"Robbie Ray","SEA",12,12,0,32,32,189,10.095238095238095,2.9523809523809526,1.5238095238095237,0.28354978354978355,0.81196581,0.392276422,0.155339805,93.5742448351419,3.7142857142857144,3.59,4.165341054573261,3.5778071774061395,1.6328425407409668,"Robbie Ray",11486,592662
"Cal Quantrill","CLE",15,5,0,32,32,186.1,6.182468862856866,2.2701252855802556,1.0143112978124547,0.2783687943262411,0.76361868,0.421143847,0.096330275,93.88110296201815,3.3810376593748486,4.31,4.121375573032211,4.388212056503308,2.0603444576263428,"Cal Quantrill",19312,615698
"Logan Gilbert","SEA",13,6,0,32,32,185.2,8.434470839137564,2.3752245466536817,0.9210054364575501,0.2915057915057915,0.77620968,0.366729678,0.091787439,96.14968325092707,3.1992820424314896,4.11,3.4571347907467356,3.777259404081646,3.0444540977478027,"Logan Gilbert",22250,669302
"Max Fried","ATL",14,7,0,30,30,185.1,8.25539591001321,1.5539568771789571,0.5827338289421089,0.2796116504854369,0.78196347,0.511538461,0.077922077,93.98086240310077,2.476618773003963,2.85,2.7023590479632054,3.090723563349386,4.913804531097412,"Max Fried",13743,608331
"Dylan Cease","CHW",14,8,0,32,32,184,11.103260869565217,3.8152173913043477,0.782608695652174,0.26004728132387706,0.82340195,0.387614678,0.083769633,96.91620156372935,2.2010869565217392,2.7,3.0961266538371213,3.502379676424291,4.3769989013671875,"Dylan Cease",18525,656302
"Zac Gallen","ARI",12,4,0,31,31,184,9.391304347826088,2.2989130434782608,0.7336956521739131,0.23660714285714285,0.77987421,0.459518599,0.09090909,93.94119599858357,2.5434782608695654,3.17,3.0472136103588605,3.31493617369105,4.175127029418945,"Zac Gallen",19291,668678
"Marco Gonzales","SEA",10,15,0,32,32,183,5.065573770491803,2.459016393442623,1.4754098360655739,0.2765598650927487,0.73684211,0.42003231,0.122950819,88.7399959276406,4.131147540983607,4.59,5.052321712045722,4.895000043006543,-0.06988533586263657,"Marco Gonzales",15467,594835
"Chris Bassitt","NYM",15,9,0,30,30,181.2,8.273394958686197,2.427523071710321,0.9412844563774715,0.28169014084507044,0.77160494,0.48828125,0.109195402,93.32805049386921,3.418348815265554,3.44,3.6573851606185865,3.7156472351952115,2.839881420135498,"Chris Bassitt",12304,605135
"Germán Márquez","COL",9,13,0,31,31,181.2,7.431193076664248,3.1211010921989844,1.4862386153328497,0.29135338345864664,0.68095238,0.475849731,0.168539325,95.71241603387851,4.9541287177761655,4.46,4.714265953744168,4.017967312394434,1.3029792308807373,"German Marquez",15038,608566
"Joe Musgrove","SDP",10,7,0,30,30,181,9.149171270718233,2.088397790055249,1.0939226519337018,0.27615062761506276,0.79799107,0.446464646,0.122905027,92.90693759484067,2.9337016574585637,3.27,3.5875691232101694,3.471470356959006,3.4218645095825195,"Joe Musgrove",12970,605397
"Cole Irvin","OAK",9,13,0,30,30,181,6.3646408839779,1.7900552486187846,1.2430939226519337,0.27339449541284405,0.71428571,0.376554174,0.105485232,90.90260299493814,3.977900552486188,4.4,4.20635365359691,4.349157790271617,1.3772214651107788,"Cole Irvin",19244,608344
"Kyle Wright","ATL",21,5,0,30,30,180.1,8.68391891405931,2.64510173819048,0.948244019351304,0.2836438923395445,0.78892372,0.556224899,0.143939393,95.05595721797323,3.194085117814919,3.89,3.5837803680074236,3.2976921602479696,2.814420223236084,"Kyle Wright",19665,657140
"Pablo López","MIA",10,10,0,32,32,180,8.7,2.65,1.05,0.2833333333333333,0.74231177,0.460921843,0.126506024,93.54571733584739,3.75,3.75,3.7124310016632083,3.5609938964247707,2.996546506881714,"Pablo Lopez",17085,641154
"Nick Pivetta","BOS",10,12,0,33,33,179.2,8.766234262568162,3.6567720066712903,1.3525047147962306,0.3002028397565923,0.7527881,0.384615384,0.123853211,93.60759694850604,4.558441816535444,4.65,4.420408812268617,4.263009156211632,1.5112898349761963,"Nick Pivetta",15454,601713
"Jordan Lyles","BAL",12,11,0,32,32,179,7.240223463687151,2.6145251396648046,1.3072625698324023,0.3125,0.73770492,0.402116402,0.114035087,91.93292410714285,4.424581005586592,4.91,4.3973472027805265,4.394689236872689,1.4088143110275269,"Jordan Lyles",7593,543475
