Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Carter Capps","SEA",-0.18850994110107422,-4.756591796875,4.568081855773926,-5.6790008544921875,-0.6887252926826477,1.0306568145751953,0.9737815856933594,1.1126604080200195,1.3330285549163818,42,-2.0103578567504883,1.8274551306100006,14,12,"Carter Capps",12803,605169
"Curtis Partch","CIN",0.2721420228481293,-1.0219759941101074,1.294118046760559,-8.996999740600586,-0.9462293386459351,0.676102340221405,0.7032589912414551,0.5779285430908203,0.3400599956512451,10,-1.3202069997787476,1.722723019408276,1,2,"Curtis Partch",1333,489197
"Kevin Slowey","MIA",0.5686661601066589,-6.408858060836792,6.97752833366394,-2.8905997574329376,-0.28630831465125084,1.0000369457098155,0.9052874445915222,0.7474600076675415,1.20506665441725,18,-1.1244753748178482,1.6931205259257665,2,1,"Kevin Slowey",9918,458713
"Esmil Rogers","TOR",0.25126218795776367,-9.065269827842712,9.316532015800476,-8.9167999625206,-1.0085071697831154,0.8492242269828671,0.7899556554705891,0.7705454555424777,1.084830791522295,39,-1.388341173529625,1.6842137828762174,5,2,"Esmil Rogers",6317,469134
"Tyler Cloyd","PHI",-0.5532979369163513,-5.681007921695709,5.127709746360779,-17.14519989490509,-1.8913929015398026,1.0722100957454694,0.9790449034083973,0.9199692194278424,0.8417499760786692,12,-2.1754403561353683,1.659405355987694,1,0,"Tyler Cloyd",8536,543031
"Ernesto Frieri","LAA",3.241511821746826,-7.915170192718506,11.156682014465332,6.22499942779541,0.6708224415779114,2.0091214179992676,1.7675930261611938,1.8189551830291748,2.6201374530792236,16,0.020525194704532623,1.5928724788789799,36,9,"Ernesto Frieri",5178,457117
"Alex Sanabia","MIA",-0.5243381261825562,-5.200563907623291,4.6762261390686035,-7.545000076293945,-0.8204506039619446,1.078057885169983,0.9470720291137695,0.8758599758148193,1.0251799821853638,10,-1.9960280656814575,1.5096551784780203,0,0,"Alex Sanabia",5350,502253
"Hiroki Kuroda","NYY",2.655225992202759,-12.580255508422852,15.235482215881348,18.619800567626953,1.936399221420288,0.996909499168396,0.939957857131958,0.8750500082969666,1.1308064460754395,31,1.208044409751892,1.4554129997899978,0,0,"Hiroki Kuroda",3283,493133
"Heath Bell","ARI",0.6299039721488953,-7.916510105133057,8.546414375305176,-1.5880001783370972,-0.12787972390651703,1.591071367263794,1.2676657438278198,1.4631420373916626,1.5198054313659668,37,-0.9831390976905823,1.3790383547001261,28,12,"Heath Bell",2080,425514
"Matt Moore","TBR",1.626932144165039,-9.6354341506958,11.26236629486084,11.192400932312012,1.1456100940704346,0.9606189727783203,0.8945315480232239,0.8578592538833618,0.9264615178108215,26,0.34842532873153687,1.345203664936572,0,0,"Matt Moore",1890,519043
"Joe Saunders","SEA",-2.6716859340667725,-16.32129669189453,13.64961051940918,-31.4591007232666,-3.3569791316986084,0.990688681602478,0.8557196855545044,0.8729749917984009,0.9392733573913574,30,-4.015058994293213,1.318262327811453,0,0,"Joe Saunders",4366,434578
"George Kontos","SFG",0.3953039050102234,-2.330404043197632,2.7257080078125,-9.48900032043457,-0.9768933653831482,0.615533173084259,0.6502770781517029,1.0191268920898438,0.9442465305328369,43,-0.6128798723220825,1.2550936835281783,8,5,"George Kontos",9486,502004
"Martín Pérez","TEX",0.7269579172134399,-8.512147903442383,9.239106178283691,3.2402002811431885,0.3233245313167572,0.9536325335502625,0.8844742774963379,0.8700000047683716,1.1285789012908936,19,-0.39496850967407227,1.1572725331190994,0,0,"Martin Perez",6902,527048
"Drew Storen","WSN",0.9376039505004883,-5.640858173370361,6.57846212387085,-4.392999649047852,-0.44611304998397827,1.3604352474212646,1.1585144996643066,1.2843588590621948,1.5569791793823242,48,-0.46417176723480225,1.1533658705761685,27,10,"Drew Storen",6983,519322
"Kris Medlen","ATL",0.9165239483118057,-14.080135762691498,14.996659576892853,7.8735999166965485,0.8678164295852184,1.013514597217242,0.9691864908898918,0.9169125165790319,1.2328580617904663,31,-0.24742110073566437,1.151723762807095,0,1,"Kris Medlen",9417,450665
"Jeremy Guthrie","KCR",-0.2887079417705536,-15.781330108642578,15.492621421813965,6.073400497436523,0.6077117323875427,0.9539480805397034,0.9005444645881653,0.8730787634849548,1.156206727027893,30,-1.4497724771499634,1.1471271365280558,0,0,"Jeremy Guthrie",2072,425386
"Cory Burns","TEX",0.22538000345230103,-0.1580279916524887,0.3834080100059509,2.5869998931884766,0.23187442123889923,0.2690528631210327,0.325764536857605,0.4537599980831146,0.25513333082199097,6,-0.29492709040641785,1.132606351046415,1,1,"Cory Burns",6620,451132
"Logan Ondrusek","CIN",0.5672439336776733,-2.544870138168335,3.1121139526367188,-1.3919998407363892,-0.10976546257734299,0.7281731963157654,0.6792378425598145,0.8065845966339111,1.0350528955459595,34,-0.3163510859012604,1.0953469848819932,11,5,"Logan Ondrusek",3677,446185
"Al Alburquerque","DET",0.8794079422950745,-3.1392340660095215,4.018641948699951,-2.8480002880096436,-0.2613429129123688,1.0051060914993286,0.8490206599235535,1.0380830764770508,0.8983365893363953,41,-0.17376646399497986,1.048706880467087,12,5,"Al Alburquerque",6324,456379
"Grant Balfour","OAK",2.823552131652832,-6.204202175140381,9.027751922607422,5.634000301361084,0.6212014555931091,1.8455499410629272,1.6240848302841187,1.6427723169326782,2.2527999877929688,10,0.482976496219635,1.0469480367499977,34,5,"Grant Balfour",718,346797
"Kenley Jansen","LAD",3.6157660484313965,-5.683462142944336,9.299227714538574,19.888999938964844,2.289437770843506,1.5623821020126343,1.5385332107543945,1.642850637435913,1.648300051689148,30,1.286018967628479,1.0282459255584229,38,8,"Kenley Jansen",3096,445276
"Shelby Miller","STL",1.099526047706604,-10.494341850280762,11.593868255615234,8.898200035095215,1.0039161443710327,0.9178686141967773,0.8719404339790344,0.8700451850891113,1.1821399927139282,30,0.17809753119945526,1.0198147088533265,0,0,"Shelby Miller",10197,571946
"Seth Maness","STL",1.720182180404663,-4.36010217666626,6.080284118652344,14.461000442504883,1.560509204864502,1.1909067630767822,0.9550608992576599,1.2208424806594849,1.1500064134597778,62,0.4251541793346405,1.0192764291207725,20,8,"Seth Maness",12235,595307
"Gio González","WSN",1.2584199905395508,-12.785747528076172,14.044167518615723,10.286800384521484,1.2617299556732178,0.9542181491851807,0.8315995335578918,0.8726500272750854,1.0849870443344116,31,0.3115963339805603,1.0072006220552603,0,0,"Gio Gonzalez",7448,461829
"Dillon Gee","NYM",-0.34049588441848755,-15.261985778808594,14.921485900878906,-1.3545002937316895,-0.09204530715942383,1.0233356952667236,0.9653549194335938,0.8718562722206116,1.3177000284194946,30,-1.3328626155853271,1.0001312489444516,0,0,"Dillon Gee",7396,518716
"Jarrod Parker","OAK",1.0451362133026123,-13.812253952026367,14.857392311096191,2.6724002361297607,0.21714389324188232,1.0105887651443481,0.9514395594596863,0.8645187616348267,1.6054387092590332,31,0.05829057842493057,0.9758948878594977,0,0,"Jarrod Parker",4913,519105
